w0,w1,w2,w3,w4,p0,p1,p2,p3,p4,y0,y1,y2,y3,y4
1.1333333333333333,0.26666666666666666,0.03333333333333333,1.4333333333333333,0.5,0.9787234042553191,1.0,0.1595744680851064,0.7553191489361702,0.1276595744680851,0.0,1.0,1.0,0.0,1.0
1.4615384615384615,1.9230769230769231,1.6153846153846154,2.8461538461538463,2.6923076923076925,0.4838709677419355,1.0,0.5376344086021505,0.8494623655913979,0.15053763440860216,0.0,0.0,0.0,0.0,0.0
4.666666666666667,6.166666666666667,6.166666666666667,5.5,3.0,0.125,1.0,0.28125,0.515625,0.09375,0.0,0.0,0.0,0.0,0.0
1.5925925925925926,1.3703703703703705,0.7407407407407407,0.9629629629629629,1.1111111111111112,0.48,0.5333333333333333,0.18666666666666668,1.0,0.84,0.0,0.0,0.0,1.0,0.0
16.0,3.0,17.0,30.0,6.0,0.5192307692307693,0.9807692307692307,1.0,0.5576923076923077,0.6346153846153846,0.0,0.0,0.0,0.0,0.0
1.7,1.0,1.9,1.1,0.3,0.18681318681318682,0.43956043956043955,0.989010989010989,0.7362637362637363,1.0,0.0,0.0,0.0,0.0,1.0
0.3888888888888889,0.8611111111111112,0.7222222222222222,0.8333333333333334,0.3333333333333333,0.9101123595505618,1.0,0.15730337078651685,0.6629213483146067,0.7865168539325843,1.0,0.0,0.0,0.0,1.0
0.058823529411764705,0.19117647058823528,0.07352941176470588,0.6323529411764706,0.4852941176470588,0.10526315789473684,0.5526315789473685,1.0,0.3815789473684211,0.5131578947368421,1.0,1.0,1.0,0.0,1.0
0.7884615384615384,0.23076923076923078,0.6153846153846154,0.15384615384615385,0.5192307692307693,0.5185185185185185,1.0,0.4691358024691358,0.13580246913580246,0.7530864197530864,0.0,1.0,0.0,1.0,1.0
0.35555555555555557,0.13333333333333333,0.5555555555555556,0.13333333333333333,0.6,0.7176470588235294,0.8117647058823529,1.0,0.1411764705882353,0.49411764705882355,0.0,1.0,1.0,1.0,0.0
1.027027027027027,0.2702702702702703,0.7567567567567568,0.8918918918918919,0.24324324324324326,1.0,0.8775510204081632,0.5102040816326531,0.9591836734693877,0.7142857142857143,0.0,1.0,0.0,0.0,1.0
0.046511627906976744,0.8604651162790697,0.3953488372093023,0.5581395348837209,0.8837209302325582,0.8421052631578947,0.013157894736842105,0.6973684210526315,1.0,0.3157894736842105,1.0,0.0,1.0,1.0,0.0
0.15625,0.20833333333333334,0.28125,0.3020833333333333,0.3020833333333333,0.5121951219512195,0.9634146341463414,0.5487804878048781,1.0,0.024390243902439025,1.0,1.0,1.0,1.0,0.0
0.11688311688311688,0.09090909090909091,0.15584415584415584,0.2987012987012987,0.2077922077922078,1.0,0.7448979591836735,0.7448979591836735,0.2857142857142857,0.061224489795918366,1.0,1.0,1.0,1.0,1.0
2.2941176470588234,1.7058823529411764,0.058823529411764705,0.058823529411764705,2.411764705882353,1.0,0.6304347826086957,0.043478260869565216,0.15217391304347827,0.043478260869565216,0.0,0.0,1.0,1.0,0.0
